protocol,operation,latency_ms,ledger_bytes,gas_used,block_number,contract_address
BSIF,worker_registration,501.213162,88,7485,395,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.354539,88,7485,396,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,502.070364,88,7485,397,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.809902,88,7485,398,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,539.927957,88,7485,399,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,503.475314,88,7485,400,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.836381,88,7485,401,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,498.596950,88,7485,402,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,535.614284,88,7485,403,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,464.438692,88,7485,404,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.532196,88,7485,405,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,500.442737,88,7485,406,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.221103,88,7485,407,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.420298,88,7485,408,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.603461,88,7485,409,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.174835,88,7485,410,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.843088,88,7485,411,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.036067,88,7485,412,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,536.582979,88,7485,413,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,464.725999,88,7485,414,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,499.983601,88,7485,415,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.252756,88,7485,416,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.049303,88,7485,417,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,503.670740,88,7485,418,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,499.313110,88,7485,419,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,503.475725,88,7485,420,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,498.699389,88,7485,421,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.131990,88,7485,422,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,535.241085,88,7485,423,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,466.271987,88,7485,424,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.538669,88,7485,425,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.050161,88,7485,426,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.718855,88,7485,427,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,499.622562,88,7485,428,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,503.579801,88,7485,429,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,499.263171,88,7485,430,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,503.956449,88,7485,431,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,542.458381,88,7485,432,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,517.601062,88,7485,433,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,614.128171,88,7485,434,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,372.077613,88,7485,435,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,503.641900,88,7485,436,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.616998,88,7485,437,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,547.830065,88,7485,438,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,499.003956,88,7485,439,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,504.550688,88,7485,440,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,499.369916,88,7485,441,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,500.899625,88,7485,442,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,515.620429,88,7485,443,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,488.367728,88,7485,444,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.852159,88,7485,445,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,504.386631,88,7485,446,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.570166,88,7485,447,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.191787,88,7485,448,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.670454,88,7485,449,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,498.608610,88,7485,450,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,502.310141,88,7485,451,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.714264,88,7485,452,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.365423,88,7485,453,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,500.475821,88,7485,454,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.713244,88,7485,455,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.599895,88,7485,456,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.672971,88,7485,457,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,499.672481,88,7485,458,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,499.816892,88,7485,459,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,500.550069,88,7485,460,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.750963,88,7485,461,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,503.941518,88,7485,462,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,536.094368,88,7485,463,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,466.115220,88,7485,464,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,502.730484,88,7485,465,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,499.864054,88,7485,466,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.789672,88,7485,467,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,501.784132,88,7485,468,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,502.636149,88,7485,469,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,504.650998,88,7485,470,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,579.749690,88,7485,471,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.682470,88,7485,472,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,503.007068,88,7485,473,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,505.860190,88,7485,474,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,501.595678,88,7485,475,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,502.948443,88,7485,476,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,498.283348,88,7485,477,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,500.406911,88,7485,478,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,worker_registration,500.707727,88,7485,479,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,worker_registration,503.965339,88,7485,480,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
