method,mode,scene,seed,malicious_report_leakage
IRPP-TD,compact,Water,20260833,0.0
IRPP-TD,compact,Water,20260834,0.0
IRPP-TD,compact,Water,20260835,0.0
IRPP-TD,compact,Water,20260836,0.0
IRPP-TD,compact,Water,20260837,0.0
IRPP-TD,independent,Climate,20260808,0.0
IRPP-TD,independent,Climate,20260809,0.0
IRPP-TD,independent,Climate,20260810,0.0
IRPP-TD,independent,Climate,20260811,0.0
IRPP-TD,independent,Climate,20260812,0.0
IRPP-TD,independent,Climate,20260813,0.0
IRPP-TD,independent,Climate,20260814,0.0
IRPP-TD,independent,Climate,20260815,0.0
IRPP-TD,independent,Climate,20260816,0.0
IRPP-TD,independent,Climate,20260817,0.0
IRPP-TD,independent,Climate,20260818,0.0
IRPP-TD,independent,Climate,20260819,0.0
IRPP-TD,independent,Climate,20260820,0.0
IRPP-TD,independent,Climate,20260821,0.0
IRPP-TD,independent,Climate,20260822,0.0
IRPP-TD,independent,Climate,20260823,0.0
IRPP-TD,independent,Climate,20260824,0.0
IRPP-TD,independent,Climate,20260825,0.0
IRPP-TD,independent,Climate,20260826,0.0
IRPP-TD,independent,Climate,20260827,0.0
IRPP-TD,independent,Climate,20260828,0.0
IRPP-TD,independent,Climate,20260829,0.0
IRPP-TD,independent,Climate,20260830,0.0
IRPP-TD,independent,Climate,20260831,0.0
IRPP-TD,independent,Climate,20260832,0.0
IRPP-TD,independent,Climate,20260833,0.0
IRPP-TD,independent,Climate,20260834,0.0
IRPP-TD,independent,Climate,20260835,0.0
IRPP-TD,independent,Climate,20260836,0.0
IRPP-TD,independent,Climate,20260837,0.0
IRPP-TD,independent,Traffic,20260808,0.0
IRPP-TD,independent,Traffic,20260809,0.0
IRPP-TD,independent,Traffic,20260810,0.0
IRPP-TD,independent,Traffic,20260811,0.0
IRPP-TD,independent,Traffic,20260812,0.0
IRPP-TD,independent,Traffic,20260813,0.0
IRPP-TD,independent,Traffic,20260814,0.0
IRPP-TD,independent,Traffic,20260815,0.0
IRPP-TD,independent,Traffic,20260816,0.0
IRPP-TD,independent,Traffic,20260817,0.0
IRPP-TD,independent,Traffic,20260818,0.0
IRPP-TD,independent,Traffic,20260819,0.0
IRPP-TD,independent,Traffic,20260820,0.0
IRPP-TD,independent,Traffic,20260821,0.0
IRPP-TD,independent,Traffic,20260822,0.0
IRPP-TD,independent,Traffic,20260823,0.0
IRPP-TD,independent,Traffic,20260824,0.0
IRPP-TD,independent,Traffic,20260825,0.0
IRPP-TD,independent,Traffic,20260826,0.0
IRPP-TD,independent,Traffic,20260827,0.0
IRPP-TD,independent,Traffic,20260828,0.0
IRPP-TD,independent,Traffic,20260829,0.0
IRPP-TD,independent,Traffic,20260830,0.0
IRPP-TD,independent,Traffic,20260831,0.0
IRPP-TD,independent,Traffic,20260832,0.0
IRPP-TD,independent,Traffic,20260833,0.0
IRPP-TD,independent,Traffic,20260834,0.0
IRPP-TD,independent,Traffic,20260835,0.0
IRPP-TD,independent,Traffic,20260836,0.0
IRPP-TD,independent,Traffic,20260837,0.0
IRPP-TD,independent,Water,20260808,0.0
IRPP-TD,independent,Water,20260809,0.0
IRPP-TD,independent,Water,20260810,0.0
IRPP-TD,independent,Water,20260811,0.0
IRPP-TD,independent,Water,20260812,0.0
IRPP-TD,independent,Water,20260813,0.0
IRPP-TD,independent,Water,20260814,0.0
IRPP-TD,independent,Water,20260815,0.0
IRPP-TD,independent,Water,20260816,0.0
IRPP-TD,independent,Water,20260817,0.0
IRPP-TD,independent,Water,20260818,0.0
IRPP-TD,independent,Water,20260819,0.0
IRPP-TD,independent,Water,20260820,0.0
IRPP-TD,independent,Water,20260821,0.0
IRPP-TD,independent,Water,20260822,0.0
IRPP-TD,independent,Water,20260823,0.0
IRPP-TD,independent,Water,20260824,0.0
IRPP-TD,independent,Water,20260825,0.0
IRPP-TD,independent,Water,20260826,0.0
IRPP-TD,independent,Water,20260827,0.0
IRPP-TD,independent,Water,20260828,0.0
IRPP-TD,independent,Water,20260829,0.0
IRPP-TD,independent,Water,20260830,0.0
IRPP-TD,independent,Water,20260831,0.0
IRPP-TD,independent,Water,20260832,0.0
IRPP-TD,independent,Water,20260833,0.0
IRPP-TD,independent,Water,20260834,0.0
IRPP-TD,independent,Water,20260835,0.0
IRPP-TD,independent,Water,20260836,0.0
IRPP-TD,independent,Water,20260837,0.0
IRPP-TD,mature_anchor,Climate,20260808,0.2550607287449393
IRPP-TD,mature_anchor,Climate,20260809,0.28846153846153844
IRPP-TD,mature_anchor,Climate,20260810,0.29896907216494845
IRPP-TD,mature_anchor,Climate,20260811,0.28830645161290325
IRPP-TD,mature_anchor,Climate,20260812,0.24536082474226803
IRPP-TD,mature_anchor,Climate,20260813,0.28125
IRPP-TD,mature_anchor,Climate,20260814,0.28693790149892934
IRPP-TD,mature_anchor,Climate,20260815,0.2459016393442623
IRPP-TD,mature_anchor,Climate,20260816,0.3333333333333333
IRPP-TD,mature_anchor,Climate,20260817,0.3227176220806794
IRPP-TD,mature_anchor,Climate,20260818,0.3128834355828221
IRPP-TD,mature_anchor,Climate,20260819,0.29273504273504275
IRPP-TD,mature_anchor,Climate,20260820,0.2633663366336634
IRPP-TD,mature_anchor,Climate,20260821,0.3436213991769547
IRPP-TD,mature_anchor,Climate,20260822,0.23617021276595745
IRPP-TD,mature_anchor,Climate,20260823,0.20434782608695654
IRPP-TD,mature_anchor,Climate,20260824,0.2860215053763441
IRPP-TD,mature_anchor,Climate,20260825,0.3070539419087137
IRPP-TD,mature_anchor,Climate,20260826,0.2792607802874743
IRPP-TD,mature_anchor,Climate,20260827,0.3012295081967213
IRPP-TD,mature_anchor,Climate,20260828,0.25256673511293637
IRPP-TD,mature_anchor,Climate,20260829,0.301010101010101
IRPP-TD,mature_anchor,Climate,20260830,0.31101511879049676
IRPP-TD,mature_anchor,Climate,20260831,0.25
IRPP-TD,mature_anchor,Climate,20260832,0.2736625514403292
IRPP-TD,mature_anchor,Climate,20260833,0.23446893787575152
IRPP-TD,mature_anchor,Climate,20260834,0.210752688172043
IRPP-TD,mature_anchor,Climate,20260835,0.23044397463002114
IRPP-TD,mature_anchor,Climate,20260836,0.27104722792607805
IRPP-TD,mature_anchor,Climate,20260837,0.21030042918454936
IRPP-TD,mature_anchor,Traffic,20260808,0.2462962962962963
IRPP-TD,mature_anchor,Traffic,20260809,0.17902350813743217
IRPP-TD,mature_anchor,Traffic,20260810,0.25
IRPP-TD,mature_anchor,Traffic,20260811,0.18453427065026362
IRPP-TD,mature_anchor,Traffic,20260812,0.17153284671532848
IRPP-TD,mature_anchor,Traffic,20260813,0.21978021978021978
IRPP-TD,mature_anchor,Traffic,20260814,0.22992700729927007
IRPP-TD,mature_anchor,Traffic,20260815,0.25321100917431194
IRPP-TD,mature_anchor,Traffic,20260816,0.20994475138121546
IRPP-TD,mature_anchor,Traffic,20260817,0.25824175824175827
IRPP-TD,mature_anchor,Traffic,20260818,0.22324723247232472
IRPP-TD,mature_anchor,Traffic,20260819,0.27611940298507465
IRPP-TD,mature_anchor,Traffic,20260820,0.1843065693430657
IRPP-TD,mature_anchor,Traffic,20260821,0.19384057971014493
IRPP-TD,mature_anchor,Traffic,20260822,0.13786764705882354
IRPP-TD,mature_anchor,Traffic,20260823,0.16420664206642066
IRPP-TD,mature_anchor,Traffic,20260824,0.22201834862385322
IRPP-TD,mature_anchor,Traffic,20260825,0.21454545454545454
IRPP-TD,mature_anchor,Traffic,20260826,0.25
IRPP-TD,mature_anchor,Traffic,20260827,0.25905797101449274
IRPP-TD,mature_anchor,Traffic,20260828,0.18761384335154827
IRPP-TD,mature_anchor,Traffic,20260829,0.20335820895522388
IRPP-TD,mature_anchor,Traffic,20260830,0.24444444444444444
IRPP-TD,mature_anchor,Traffic,20260831,0.26229508196721313
IRPP-TD,mature_anchor,Traffic,20260832,0.22401433691756273
IRPP-TD,mature_anchor,Traffic,20260833,0.3
IRPP-TD,mature_anchor,Traffic,20260834,0.19144981412639406
IRPP-TD,mature_anchor,Traffic,20260835,0.20300751879699247
IRPP-TD,mature_anchor,Traffic,20260836,0.21739130434782608
IRPP-TD,mature_anchor,Traffic,20260837,0.22014925373134328
IRPP-TD,mature_anchor,Water,20260808,0.09959349593495935
IRPP-TD,mature_anchor,Water,20260809,0.1012396694214876
IRPP-TD,mature_anchor,Water,20260810,0.16317991631799164
IRPP-TD,mature_anchor,Water,20260811,0.1506276150627615
IRPP-TD,mature_anchor,Water,20260812,0.13034188034188035
IRPP-TD,mature_anchor,Water,20260813,0.11823647294589178
IRPP-TD,mature_anchor,Water,20260814,0.10480349344978165
IRPP-TD,mature_anchor,Water,20260815,0.14925373134328357
IRPP-TD,mature_anchor,Water,20260816,0.10294117647058823
IRPP-TD,mature_anchor,Water,20260817,0.12258064516129032
IRPP-TD,mature_anchor,Water,20260818,0.13250517598343686
IRPP-TD,mature_anchor,Water,20260819,0.12179487179487179
IRPP-TD,mature_anchor,Water,20260820,0.13763440860215054
IRPP-TD,mature_anchor,Water,20260821,0.07597535934291581
IRPP-TD,mature_anchor,Water,20260822,0.12058212058212059
IRPP-TD,mature_anchor,Water,20260823,0.10569105691056911
IRPP-TD,mature_anchor,Water,20260824,0.11618257261410789
IRPP-TD,mature_anchor,Water,20260825,0.1589958158995816
IRPP-TD,mature_anchor,Water,20260826,0.1431451612903226
IRPP-TD,mature_anchor,Water,20260827,0.1226215644820296
IRPP-TD,mature_anchor,Water,20260828,0.14791666666666667
IRPP-TD,mature_anchor,Water,20260829,0.06832298136645963
IRPP-TD,mature_anchor,Water,20260830,0.13704496788008566
IRPP-TD,mature_anchor,Water,20260831,0.10947368421052632
IRPP-TD,mature_anchor,Water,20260832,0.16666666666666666
IRPP-TD,mature_anchor,Water,20260833,0.13664596273291926
IRPP-TD,mature_anchor,Water,20260834,0.1337579617834395
IRPP-TD,mature_anchor,Water,20260835,0.12684989429175475
IRPP-TD,mature_anchor,Water,20260836,0.1134453781512605
IRPP-TD,mature_anchor,Water,20260837,0.12910284463894967
IRPP-TD,onoff,Climate,20260808,0.3063063063063063
IRPP-TD,onoff,Climate,20260809,0.37267080745341613
IRPP-TD,onoff,Climate,20260810,0.3323170731707317
IRPP-TD,onoff,Climate,20260811,0.382262996941896
IRPP-TD,onoff,Climate,20260812,0.14925373134328357
IRPP-TD,onoff,Climate,20260813,0.4195583596214511
IRPP-TD,onoff,Climate,20260814,0.4692556634304207
IRPP-TD,onoff,Climate,20260815,0.3258064516129032
IRPP-TD,onoff,Climate,20260816,0.32
IRPP-TD,onoff,Climate,20260817,0.34726688102893893
IRPP-TD,onoff,Climate,20260818,0.4040114613180516
IRPP-TD,onoff,Climate,20260819,0.28615384615384615
IRPP-TD,onoff,Climate,20260820,0.32732732732732733
IRPP-TD,onoff,Climate,20260821,0.39039039039039036
IRPP-TD,onoff,Climate,20260822,0.3619047619047619
IRPP-TD,onoff,Climate,20260823,0.33223684210526316
IRPP-TD,onoff,Climate,20260824,0.26785714285714285
IRPP-TD,onoff,Climate,20260825,0.3128834355828221
IRPP-TD,onoff,Climate,20260826,0.36645962732919257
IRPP-TD,onoff,Climate,20260827,0.26688102893890675
IRPP-TD,onoff,Climate,20260828,0.36904761904761907
IRPP-TD,onoff,Climate,20260829,0.2676923076923077
IRPP-TD,onoff,Climate,20260830,0.44011976047904194
IRPP-TD,onoff,Climate,20260831,0.33015873015873015
IRPP-TD,onoff,Climate,20260832,0.3476923076923077
IRPP-TD,onoff,Climate,20260833,0.24709302325581395
IRPP-TD,onoff,Climate,20260834,0.28792569659442724
IRPP-TD,onoff,Climate,20260835,0.42038216560509556
IRPP-TD,onoff,Climate,20260836,0.36151603498542273
IRPP-TD,onoff,Climate,20260837,0.3192771084337349
IRPP-TD,onoff,Traffic,20260808,0.2598187311178248
IRPP-TD,onoff,Traffic,20260809,0.19230769230769232
IRPP-TD,onoff,Traffic,20260810,0.3241590214067278
IRPP-TD,onoff,Traffic,20260811,0.27469135802469136
IRPP-TD,onoff,Traffic,20260812,0.2930513595166163
IRPP-TD,onoff,Traffic,20260813,0.4050632911392405
IRPP-TD,onoff,Traffic,20260814,0.30930930930930933
IRPP-TD,onoff,Traffic,20260815,0.40584415584415584
IRPP-TD,onoff,Traffic,20260816,0.23322683706070288
IRPP-TD,onoff,Traffic,20260817,0.311178247734139
IRPP-TD,onoff,Traffic,20260818,0.3895705521472393
IRPP-TD,onoff,Traffic,20260819,0.3760932944606414
IRPP-TD,onoff,Traffic,20260820,0.37037037037037035
IRPP-TD,onoff,Traffic,20260821,0.3508771929824561
IRPP-TD,onoff,Traffic,20260822,0.32098765432098764
IRPP-TD,onoff,Traffic,20260823,0.24846625766871167
IRPP-TD,onoff,Traffic,20260824,0.2620481927710843
IRPP-TD,onoff,Traffic,20260825,0.258160237388724
IRPP-TD,onoff,Traffic,20260826,0.2822822822822823
IRPP-TD,onoff,Traffic,20260827,0.3009118541033435
IRPP-TD,onoff,Traffic,20260828,0.19701492537313434
IRPP-TD,onoff,Traffic,20260829,0.2459546925566343
IRPP-TD,onoff,Traffic,20260830,0.3394495412844037
IRPP-TD,onoff,Traffic,20260831,0.2890855457227139
IRPP-TD,onoff,Traffic,20260832,0.3353115727002967
IRPP-TD,onoff,Traffic,20260833,0.2920353982300885
IRPP-TD,onoff,Traffic,20260834,0.3723076923076923
IRPP-TD,onoff,Traffic,20260835,0.34967320261437906
IRPP-TD,onoff,Traffic,20260836,0.3507692307692308
IRPP-TD,onoff,Traffic,20260837,0.3293051359516616
IRPP-TD,onoff,Water,20260808,0.06301369863013699
IRPP-TD,onoff,Water,20260809,0.08333333333333333
IRPP-TD,onoff,Water,20260810,0.1936416184971098
IRPP-TD,onoff,Water,20260811,0.11174785100286533
IRPP-TD,onoff,Water,20260812,0.09510086455331412
IRPP-TD,onoff,Water,20260813,0.08959537572254335
IRPP-TD,onoff,Water,20260814,0.06571428571428571
IRPP-TD,onoff,Water,20260815,0.1359773371104816
IRPP-TD,onoff,Water,20260816,0.06111111111111111
IRPP-TD,onoff,Water,20260817,0.13149847094801223
IRPP-TD,onoff,Water,20260818,0.07777777777777778
IRPP-TD,onoff,Water,20260819,0.2334293948126801
IRPP-TD,onoff,Water,20260820,0.10826210826210826
IRPP-TD,onoff,Water,20260821,0.07242339832869081
IRPP-TD,onoff,Water,20260822,0.053824362606232294
IRPP-TD,onoff,Water,20260823,0.05
IRPP-TD,onoff,Water,20260824,0.1348314606741573
IRPP-TD,onoff,Water,20260825,0.14520547945205478
IRPP-TD,onoff,Water,20260826,0.09803921568627451
IRPP-TD,onoff,Water,20260827,0.09523809523809523
IRPP-TD,onoff,Water,20260828,0.0547945205479452
IRPP-TD,onoff,Water,20260829,0.21264367816091953
IRPP-TD,onoff,Water,20260830,0.04481792717086835
IRPP-TD,onoff,Water,20260831,0.06628242074927954
IRPP-TD,onoff,Water,20260832,0.0471976401179941
IRPP-TD,onoff,Water,20260833,0.0423728813559322
IRPP-TD,onoff,Water,20260834,0.13725490196078433
IRPP-TD,onoff,Water,20260835,0.06784660766961652
IRPP-TD,onoff,Water,20260836,0.13753581661891118
IRPP-TD,onoff,Water,20260837,0.1339031339031339
PRTD,compact,Climate,20260808,0.7282442748091603
PRTD,compact,Climate,20260809,0.7387820512820513
PRTD,compact,Climate,20260810,0.8187403993855606
PRTD,compact,Climate,20260811,0.7608695652173914
PRTD,compact,Climate,20260812,0.8134556574923547
PRTD,compact,Climate,20260813,0.7981072555205048
PRTD,compact,Climate,20260814,0.794912559618442
PRTD,compact,Climate,20260815,0.6976744186046512
PRTD,compact,Climate,20260816,0.5757575757575758
PRTD,compact,Climate,20260817,0.6594090202177294
PRTD,compact,Climate,20260818,0.8064516129032258
PRTD,compact,Climate,20260819,0.8248062015503876
PRTD,compact,Climate,20260820,0.8312693498452013
PRTD,compact,Climate,20260821,0.8270440251572327
PRTD,compact,Climate,20260822,0.7912087912087912
PRTD,compact,Climate,20260823,0.780952380952381
PRTD,compact,Climate,20260824,0.6363636363636364
PRTD,compact,Climate,20260825,0.7851622874806801
PRTD,compact,Climate,20260826,0.7151702786377709
PRTD,compact,Climate,20260827,0.7918622848200313
PRTD,compact,Climate,20260828,0.7634408602150538
PRTD,compact,Climate,20260829,0.7246596066565809
PRTD,compact,Climate,20260830,0.8058551617873652
PRTD,compact,Climate,20260831,0.749613601236476
PRTD,compact,Climate,20260832,0.5139751552795031
PRTD,compact,Climate,20260833,0.8021638330757341
PRTD,compact,Climate,20260834,0.6304
PRTD,compact,Climate,20260835,0.6965408805031447
PRTD,compact,Climate,20260836,0.7480916030534351
PRTD,compact,Climate,20260837,0.7598736176935229
PRTD,compact,Traffic,20260808,0.8050595238095238
PRTD,compact,Traffic,20260809,0.6451612903225806
PRTD,compact,Traffic,20260810,0.7826725403817915
PRTD,compact,Traffic,20260811,0.7576197387518142
PRTD,compact,Traffic,20260812,0.8067846607669616
PRTD,compact,Traffic,20260813,0.7862481315396114
PRTD,compact,Traffic,20260814,0.6275659824046921
PRTD,compact,Traffic,20260815,0.7900146842878121
PRTD,compact,Traffic,20260816,0.621861152141802
PRTD,compact,Traffic,20260817,0.6414814814814814
PRTD,compact,Traffic,20260818,0.6325925925925926
PRTD,compact,Traffic,20260819,0.7265973254086181
PRTD,compact,Traffic,20260820,0.7828054298642534
PRTD,compact,Traffic,20260821,0.5735512630014858
PRTD,compact,Traffic,20260822,0.7286356821589205
PRTD,compact,Traffic,20260823,0.7226386806596702
PRTD,compact,Traffic,20260824,0.7247023809523809
PRTD,compact,Traffic,20260825,0.725258493353028
PRTD,compact,Traffic,20260826,0.8059259259259259
PRTD,compact,Traffic,20260827,0.5985185185185186
PRTD,compact,Traffic,20260828,0.6920821114369502
PRTD,compact,Traffic,20260829,0.6606606606606606
PRTD,compact,Traffic,20260830,0.8149253731343283
PRTD,compact,Traffic,20260831,0.8124076809453471
PRTD,compact,Traffic,20260832,0.6442166910688141
PRTD,compact,Traffic,20260833,0.7536656891495601
PRTD,compact,Traffic,20260834,0.7232142857142857
PRTD,compact,Traffic,20260835,0.7674772036474165
PRTD,compact,Traffic,20260836,0.7455089820359282
PRTD,compact,Traffic,20260837,0.7294469357249627
PRTD,compact,Water,20260808,0.810966810966811
PRTD,compact,Water,20260809,0.8510324483775811
PRTD,compact,Water,20260810,0.8543543543543544
PRTD,compact,Water,20260811,0.8675400291120815
PRTD,compact,Water,20260812,0.8724035608308606
PRTD,compact,Water,20260813,0.882525697503671
PRTD,compact,Water,20260814,0.8828828828828829
PRTD,compact,Water,20260815,0.8768768768768769
PRTD,compact,Water,20260816,0.872093023255814
PRTD,compact,Water,20260817,0.8850746268656716
PRTD,compact,Water,20260818,0.8355754857997011
PRTD,compact,Water,20260819,0.8692421991084696
PRTD,compact,Water,20260820,0.8788321167883212
PRTD,compact,Water,20260821,0.865606936416185
PRTD,compact,Water,20260822,0.8600883652430045
PRTD,compact,Water,20260823,0.865979381443299
PRTD,compact,Water,20260824,0.8249258160237388
PRTD,compact,Water,20260825,0.8837209302325582
PRTD,compact,Water,20260826,0.8667642752562226
PRTD,compact,Water,20260827,0.8577912254160364
PRTD,compact,Water,20260828,0.8786549707602339
PRTD,compact,Water,20260829,0.8784773060029283
PRTD,compact,Water,20260830,0.8340807174887892
PRTD,compact,Water,20260831,0.8759231905465288
PRTD,compact,Water,20260832,0.878698224852071
PRTD,compact,Water,20260833,0.8649045521292217
PRTD,compact,Water,20260834,0.8654708520179372
PRTD,compact,Water,20260835,0.870919881305638
PRTD,compact,Water,20260836,0.8737151248164464
PRTD,compact,Water,20260837,0.8286558345642541
PRTD,independent,Climate,20260808,0.6580152671755726
PRTD,independent,Climate,20260809,0.6891025641025641
PRTD,independent,Climate,20260810,0.794162826420891
PRTD,independent,Climate,20260811,0.7329192546583851
PRTD,independent,Climate,20260812,0.7629969418960245
PRTD,independent,Climate,20260813,0.777602523659306
PRTD,independent,Climate,20260814,0.7774244833068362
PRTD,independent,Climate,20260815,0.641860465116279
PRTD,independent,Climate,20260816,0.39553429027113235
PRTD,independent,Climate,20260817,0.5660964230171073
PRTD,independent,Climate,20260818,0.7880184331797235
PRTD,independent,Climate,20260819,0.8124031007751938
PRTD,independent,Climate,20260820,0.8142414860681114
PRTD,independent,Climate,20260821,0.8128930817610063
PRTD,independent,Climate,20260822,0.7786499215070644
PRTD,independent,Climate,20260823,0.7571428571428571
PRTD,independent,Climate,20260824,0.6050156739811913
PRTD,independent,Climate,20260825,0.7418856259659969
PRTD,independent,Climate,20260826,0.6594427244582043
PRTD,independent,Climate,20260827,0.7777777777777778
PRTD,independent,Climate,20260828,0.7035330261136713
PRTD,independent,Climate,20260829,0.6762481089258698
PRTD,independent,Climate,20260830,0.7688751926040062
PRTD,independent,Climate,20260831,0.6924265842349304
PRTD,independent,Climate,20260832,0.25
PRTD,independent,Climate,20260833,0.7697063369397218
PRTD,independent,Climate,20260834,0.5056
PRTD,independent,Climate,20260835,0.6257861635220126
PRTD,independent,Climate,20260836,0.7053435114503817
PRTD,independent,Climate,20260837,0.7203791469194313
PRTD,independent,Traffic,20260808,0.7663690476190477
PRTD,independent,Traffic,20260809,0.4736070381231672
PRTD,independent,Traffic,20260810,0.7136563876651982
PRTD,independent,Traffic,20260811,0.6545718432510885
PRTD,independent,Traffic,20260812,0.7551622418879056
PRTD,independent,Traffic,20260813,0.7249626307922272
PRTD,independent,Traffic,20260814,0.530791788856305
PRTD,independent,Traffic,20260815,0.7268722466960352
PRTD,independent,Traffic,20260816,0.5022156573116692
PRTD,independent,Traffic,20260817,0.5496296296296296
PRTD,independent,Traffic,20260818,0.5007407407407407
PRTD,independent,Traffic,20260819,0.5943536404160475
PRTD,independent,Traffic,20260820,0.7360482654600302
PRTD,independent,Traffic,20260821,0.46805349182763745
PRTD,independent,Traffic,20260822,0.6341829085457271
PRTD,independent,Traffic,20260823,0.6506746626686657
PRTD,independent,Traffic,20260824,0.6517857142857143
PRTD,independent,Traffic,20260825,0.6528803545051699
PRTD,independent,Traffic,20260826,0.7703703703703704
PRTD,independent,Traffic,20260827,0.362962962962963
PRTD,independent,Traffic,20260828,0.5806451612903226
PRTD,independent,Traffic,20260829,0.4894894894894895
PRTD,independent,Traffic,20260830,0.7910447761194029
PRTD,independent,Traffic,20260831,0.7754800590841949
PRTD,independent,Traffic,20260832,0.43923865300146414
PRTD,independent,Traffic,20260833,0.6832844574780058
PRTD,independent,Traffic,20260834,0.6383928571428571
PRTD,independent,Traffic,20260835,0.7066869300911854
PRTD,independent,Traffic,20260836,0.6916167664670658
PRTD,independent,Traffic,20260837,0.6113602391629297
PRTD,independent,Water,20260808,0.7373737373737373
PRTD,independent,Water,20260809,0.7610619469026548
PRTD,independent,Water,20260810,0.7732732732732732
PRTD,independent,Water,20260811,0.8471615720524017
PRTD,independent,Water,20260812,0.8323442136498517
PRTD,independent,Water,20260813,0.8634361233480177
PRTD,independent,Water,20260814,0.8798798798798799
PRTD,independent,Water,20260815,0.8528528528528528
PRTD,independent,Water,20260816,0.8546511627906976
PRTD,independent,Water,20260817,0.8761194029850746
PRTD,independent,Water,20260818,0.8101644245142003
PRTD,independent,Water,20260819,0.8736998514115899
PRTD,independent,Water,20260820,0.8642335766423358
PRTD,independent,Water,20260821,0.8540462427745664
PRTD,independent,Water,20260822,0.8188512518409425
PRTD,independent,Water,20260823,0.8424153166421208
PRTD,independent,Water,20260824,0.7967359050445104
PRTD,independent,Water,20260825,0.8822674418604651
PRTD,independent,Water,20260826,0.8506588579795022
PRTD,independent,Water,20260827,0.848714069591528
PRTD,independent,Water,20260828,0.8801169590643275
PRTD,independent,Water,20260829,0.862371888726208
PRTD,independent,Water,20260830,0.7533632286995515
PRTD,independent,Water,20260831,0.8759231905465288
PRTD,independent,Water,20260832,0.8801775147928994
