budget,mode,delta_cap,scene,target_workers,seed,task_id,participant_count,norm_sq_sum,dimension,no_truth,iterations,converged,pair_evaluations,effective_budget,angular_available,valid_score_count,scores_json,labels_json,retained_json,worker_ids_json,screening_macro_f1
cap-3,rabod,3,Climate,27,20260808,38,28,3.986665182704213e-05,5,False,5,True,84,3,True,28,"[0.010276266070617244,0.0841148117874744,0.02865787347876313,0.33111264730075907,0.01092808812870627,0.0842334465358378,0.0014904938646663748,0.06606660247594923,0.1113660423870228,0.2607985895482855,0.09432069995969149,0.006961304676140093,0.0005211364137737223,0.26997073941643923,0.012259922947613399,3.150218037496647e-07,1.0738060116617245e-07,1.744035783636986e-08,5.170582477288152e-08,1.1298727583036623e-07,3.6098444457119904e-08,4.866044775616356e-08,2.0615081623786294e-07,1.2663340128034598e-07,2.2286818351873702e-07,6.734878142073506e-08,2.6642053670591397e-08,1.2721025354435843e-08]","[1,0,1,0,1,0,2,0,0,0,0,1,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[14,16,19,23,29,34,35,36,38,39,46,47,48,57,59,68,69,71,80,81,83,86,87,88,90,91,92,100]",0.7666666666666666
cap-3,rabod,3,Climate,27,20260808,39,31,1.9908183043482603e-05,5,False,4,True,93,3,True,31,"[0.02911818945220777,0.009011900335783214,0.0019688875206182563,0.046456598097764125,0.03506195790563161,0.1358133800882512,0.05440490110027926,0.015916163302232084,0.02472454810192889,0.0640906617947289,0.12414219939455212,0.04510880347865833,0.054269025354906006,0.09970923531847904,0.006165971086773137,0.06519439682967747,0.0009977921214121034,4.5089474933464296e-05,0.002860530595747214,0.15278649455563617,0.007856890679314336,4.61268819089413e-08,0.0013265619506913967,1.4987350443916518e-07,3.271059414717234e-07,0.00017056705008671803,2.6502842975969055e-08,6.171604080574734e-09,0.00044951831922387025,1.9199627803159946e-07,0.0003152063962748634]","[1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2]","[1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0]","[2,5,7,11,16,18,23,28,29,37,38,45,47,51,52,53,57,58,60,62,67,73,75,76,79,83,84,87,89,99,100]",0.5578947368421052
cap-3,rabod,3,Climate,27,20260808,40,27,7.728549333433122e-05,5,False,4,True,81,3,True,27,"[0.006565554979748724,0.43438171448508955,0.08647974246700857,0.05771674699274066,0.08099369532296417,0.1516350219513645,0.0406015502554573,0.041821063537828065,0.0575935438995258,0.1297208357366942,0.0018935369049930529,0.010472860703280257,0.03824342281543413,0.01511882353182137,0.31153730291895304,1.9168897272717264e-07,1.3854796090269979e-07,5.641414748194712e-06,3.7174350642188274e-07,3.7287840845195024e-07,1.0964098797463233e-05,9.424807382437741e-07,3.2684878472208265e-10,7.418992668465043e-07,7.953866161670424e-08,1.5393589379700786e-07,4.0191931115896286e-07]","[1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0]","[1,2,5,9,10,12,14,18,21,23,34,35,38,47,54,55,60,65,73,74,76,81,82,87,95,97,100]",0.73
cap-3,rabod,3,Climate,27,20260808,41,26,0.00017435941632556865,5,False,3,True,78,3,True,26,"[0.01057292528240305,0.0215163232065144,0.03587332156817022,0.0749729972666421,0.11004297279193852,0.10373618349586791,0.0662927302555156,0.04010685860294561,0.2918377807278356,0.003232385513248342,0.027635084010294565,0.007320926722389918,0.016115173488663887,0.47656299999970225,0.07316917684223573,0.08389735431345795,0.005626407915669901,0.13710073153575186,2.078477588951987e-07,2.0947523871155316e-07,7.127038457278172e-08,4.311420754243512e-07,7.133942221362651e-09,2.2734704709021567e-07,9.775098277370323e-08,2.1789261931894594e-09]","[1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0]","[3,4,5,11,13,16,22,24,26,31,36,39,40,41,43,45,55,56,67,73,75,85,91,94,97,99]",0.7644444444444445
cap-3,rabod,3,Climate,27,20260808,42,24,1.7627927431222303e-05,5,False,3,True,72,3,True,24,"[0.02315800050938452,0.016069275070153183,0.08587064300820149,0.05004199808017198,0.2765184138456174,0.009882964056078185,0.010532215196877373,0.008029639014206757,0.2802702219916846,0.1433111308019466,0.014468061132806345,0.07651554452344847,0.22422673318366942,0.02753373268423367,0.07707546958327613,0.08944162291934651,0.027669344496419813,0.06106952109001542,0.24980111593176266,0.018015529298732614,3.3292479354473314e-06,5.121051253128201e-07,5.850446756663688e-07,1.0332562537407313e-08]","[1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,2,2,2,2]","[1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0]","[3,5,7,12,13,14,17,18,19,25,29,38,40,43,44,49,50,52,54,55,57,71,98,100]",0.6599326599326599
cap-3,rabod,3,Climate,27,20260808,43,32,0.0021065107734080683,5,False,3,True,96,3,True,32,"[0.002023139020694563,0.00026902013089042504,0.0006831350036807874,0.000107663541477261,0.008133609157356506,0.013542688292535372,0.0019935903378896737,0.0022390547204991815,0.04069674015798653,0.0077099136667341875,0.0018351621804397042,0.040423762548893134,1.6918551354466003e-06,6.047255709629721e-08,2.7362158834276523e-08,0.06549414858677687,0.06486835639793058,0.0077974866928402775,0.08317831311386699,1.7551661492716888e-07,1.8765371528595845e-06,0.005108967523754459,1.7873813059965694e-07,1.4207238184553609e-08,0.011540691705737459,0.0044235219835114655,0.001924573542369268,2.848369164599489e-08,1.3996007136768478e-08,7.547391128180157e-08,2.3130366550857837e-07,0.0002657473367395931]","[1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,0,0,1,0,2,2,1,2,2,1,1,1,2,2,2,2,2]","[1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","[5,7,12,19,24,25,29,35,37,41,44,48,55,56,61,64,66,68,69,76,77,81,82,83,85,86,88,91,93,94,96,99]",0.34285714285714286
cap-3,rabod,3,Climate,27,20260808,44,26,2.2819173757700546e-05,5,False,4,True,78,3,True,26,"[0.13986655553492572,0.10524186527253136,0.01022548089249401,0.009371883476165252,0.01126285690374756,0.22556432146330382,0.13453084367864626,0.007649455435893924,0.0037640984310090687,0.31597874848226365,0.10787240531094423,0.030208229435276672,0.034869969518478684,0.04522601064110837,0.15464926380237903,0.025073465411016085,1.9870829623899907e-06,1.5977090975169433e-07,3.755820642173841e-08,9.507043320965529e-09,1.0184475952870306e-07,8.070027958837535e-09,1.4828419979995034e-07,2.487039459417596e-07,4.1773771005101583e-07,1.6830103954875803e-07]","[0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0]","[1,3,4,10,13,19,21,24,27,31,33,35,49,50,55,56,60,64,71,77,78,80,89,94,96,98]",0.7402597402597402
cap-3,rabod,3,Climate,27,20260808,45,32,5.212715965611342e-06,5,False,3,True,96,3,True,32,"[0.14091829176978105,0.11061924944710448,0.013881454028050858,0.08500795645636035,0.03175120462214864,0.0011081305254227413,0.16421750706129168,0.13195437925363043,0.27605813611407237,0.14995000230266167,0.0015201574570216942,0.002362480619676162,0.05926391639560106,0.021262737404850525,0.06051744440345762,0.012712879007469534,0.17149546738576188,6.280103440198901e-06,0.11495456018722142,4.091285524166685e-05,4.6349094525181656e-07,3.17611978882315e-07,2.894657190252879e-07,5.010376824041479e-09,9.443166257447118e-08,2.1476628528155938e-08,2.3831555626054692e-07,2.227353456908144e-09,2.744040933523072e-08,5.991867938107605e-07,8.645851801021726e-08,5.208694734839e-09]","[0,0,1,0,1,2,0,0,0,0,2,1,0,1,0,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3,4,5,7,11,22,26,28,35,36,38,39,40,41,44,45,51,57,60,62,68,76,83,84,86,90,92,93,96,97,98,100]",0.7708333333333333
cap-3,rabod,3,Climate,27,20260808,46,27,4.8356031188486644e-05,5,False,4,True,81,3,True,27,"[0.03917943673166125,0.020068036992304132,0.03810864303691236,0.011493570140118124,0.008821407651621264,0.017887765286501878,0.0008513451265838363,0.14232385672723732,0.02222427614086402,0.0954781519441969,0.001880060498959926,0.18547492160348095,0.07904255725733175,0.020258511891399808,1.2712186550902633e-05,3.8338744556982436e-07,4.698092127598862e-06,7.097021215568696e-07,0.05326426338039688,2.412712894883965e-09,5.002835323257126e-07,6.502500765774038e-08,1.9335248315851165e-08,1.6160683437781855e-08,1.1206951170445635e-09,1.1800697308114918e-07,3.3804686988731446e-07]","[1,1,1,1,1,1,2,0,1,0,1,0,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2]","[1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3,7,13,14,17,18,21,23,26,31,32,38,40,48,55,59,63,65,67,69,70,77,87,89,96,99,100]",0.6837606837606838
cap-3,rabod,3,Climate,27,20260808,47,26,1.3365790176816264e-05,5,False,4,True,78,3,True,26,"[0.012922442043163304,0.029339725617182115,0.008115461135549302,0.05817329365340407,0.05274064493705678,0.008636178505510789,0.056345074007184456,0.02170902096220155,0.03614406127686334,0.06114877260763826,0.022075654674022782,0.03040468620277959,0.00148875747658807,0.0323974483075896,6.283728588649477e-05,0.0022177155292043096,3.588098438166804e-05,0.025187573458397724,0.026734495001786606,1.0642961161472803e-08,2.240634766193115e-08,8.106952546291999e-09,3.1538140628924126e-08,6.577395344860227e-08,3.4319219655851925e-08,8.242486079226227e-09]","[1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2]","[1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0]","[1,5,8,12,13,14,17,26,30,32,36,41,44,46,52,53,55,56,64,80,81,91,94,97,98,100]",0.47575757575757577
